,Ny,Method,Execution Time (s),score
0,16,random,5.259396076202393,0.6782
1,16,Greedy,9.436028480529785,0.729
2,16,K-Means,8.071195840835571,0.7617
3,32,random,4.586090087890625,0.8004
4,32,Greedy,11.987001180648804,0.8039
5,32,K-Means,9.36504054069519,0.8583
6,64,random,4.517632722854614,0.8436
7,64,Greedy,13.059160232543945,0.8649
8,64,K-Means,8.68225359916687,0.9036
9,128,random,6.766138553619385,0.9041
10,128,Greedy,28.141050100326538,0.909
11,128,K-Means,31.383917331695557,0.9284
12,256,random,13.627364158630371,0.9292
13,256,Greedy,45.974021911621094,0.9367
14,256,K-Means,23.654725551605225,0.9474
15,512,random,15.016795635223389,0.9492
16,512,Greedy,45.1273353099823,0.953
17,512,K-Means,62.198166370391846,0.9608
18,1024,random,42.77094793319702,0.9586
19,1024,Greedy,96.0299060344696,0.9655
20,1024,K-Means,103.31748843193054,0.9685
21,2048,random,76.2785964012146,0.9685
22,2048,Greedy,273.87095856666565,0.9749
23,2048,K-Means,179.94193124771118,0.9763
24,4096,random,134.9647238254547,0.9726
25,4096,Greedy,504.57132363319397,0.9811
26,4096,K-Means,706.3099844455719,0.9793
27,8192,random,314.8740568161011,0.9779
28,8192,Greedy,702.7004239559174,0.9844
29,8192,K-Means,811.5951693058014,0.9826
